CODE,NOM,DCI1,DOSAGE1,UNITE_DOSAGE1,FORME,PRESENTATION,PPV,PH,PRIX_BR,PRINCEPS_GENERIQUE,TAUX_REMBOURSEMENT
6118001141715,ULTIVA 1 MG,REMIFENTANIL,1,MG,POUDRE POUR PREPARATION INJECTABLE,1 BOITE 5 AMPOULE, -     , 267.00   , 267.00   ,P,0%
6118001110568,PULPERYL,PROCAINE,4.1,G,SOLUTION POUR APPLICATION LOCALE,1 FLACON 13 ML, 160.00   , -     , 160.00   ,P,0%
6118010001086,BIOTIC PLUS,AMOXICILLINE / ACIDE CLAVULANIQUE,1 / 125,G / MG,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 24 SACHET, 203.00   , 126.50   , 203.00   ,G,70%
6118001050666,BONDRONAT,ACIDE IBANDRONIQUE,50,MG,COMPRIME ENROBE,1 BOITE 28 COMPRIME," 2,965.00   "," 2,603.00   "," 2,965.00   ",P,70%
6118010001734,AVENOC,SOUCHE HOMEOPATHIQUE,,NA,SUPPOSITOIRE,1 BOITE 10 SUPPOSITOIRE, 46.00   , 30.20   , 46.00   ,P,0%
6118001000210,DANTRON,ONDANSETRON,4,MG,SOLUTION INJECTABLE,1 BOITE 1 AMPOULE INJECTABLE, 68.00   , 42.40   , 68.00   ,G,70%
6118000070719,PRILVAS,ENALAPRIL,5,MG,COMPRIME SECABLE,1 BOITE 28 COMPRIME, 51.80   , 32.40   , 51.80   ,G,70%
6118010001017,SYNNAX,LAMOTRIGINE,50,MG,COMPRIME,1 BOITE 60 COMPRIME, 283.00   , 187.90   , 283.00   ,G,70%
6118001101535,SYNNAX,LAMOTRIGINE,50,MG,COMPRIME,1 BOITE 60 COMPRIME, 283.00   , 187.90   , 283.00   ,G,70%
6118001150557,RETISOL-A,TRETINOINE,0.05,%,CREME,1 TUBE 25 G, 97.70   , 64.30   , 97.70   ,P,0%
6118010019173,AERRANE,ISOFLURANE,100,%,SOLUTION POUR INHALATION,1 FLACON 250 ML, 554.30   , -     , 554.30   ,G,0%
6118001250028,AERRANE,ISOFLURANE,100,%,SOLUTION POUR INHALATION,1 FLACON 250 ML, 554.30   , -     , 554.30   ,G,0%
6118001150441,OKA-DOCETAXEL,DOCETAXEL,80,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON 2 ML," 2,877.00   "," 2,550.00   "," 2,877.00   ",G,70%
6118001121090,MAXILASE,ALFA-AMYLASE,3000,U CEIP,COMPRIME ENROBE,1 BOITE 24 COMPRIME ENROBE, 60.10   , 39.80   , 60.10   ,P,0%
6118001110056,PROSTIGMINE,NEOSTIGMINE,0.5,MG,SOLUTION INJECTABLE,1 BOITE 6 AMPOULE INJECTABLE, 41.00   , 25.50   , 41.00   ,P,70%
6118000120315,BIOSULIN 30/70 MIXTE,INSULINE HUMAINE,100,UI,SUSPENSION INJECTABLE INTERMEDIAIRE,1 FLACON 10 ML, 130.00   , 81.20   , 130.00   ,G,70%
6118000240136,BACTOX,AMOXICILLINE,500,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML, 35.70   , 23.60   , 35.70   ,G,70%
6118010013669,STEROGYL GOUTTES,ERGOCALCIFEROL (VITAMINE D2),2,MUI,SOLUTION POUR GOUTTES BUVABLES,1 FLACON 20 ML, 15.50   , -     , 15.50   ,P,70%
6118000031734,OPTICILLINE,AMPICILLINE,500,MG,GELULE,1 BOITE 24 GELULE, 83.40   , 52.00   , 83.40   ,G,70%
6118010121876,MELOXICAM GT,MELOXICAM,7.5,MG,COMPRIME,1 BOITE 30 COMPRIME, 72.10   , 44.90   , 72.10   ,G,70%
6118000330141,MELOXICAM GT,MELOXICAM,7.5,MG,COMPRIME,1 BOITE 30 COMPRIME, 72.10   , 44.90   , 72.10   ,G,70%
6118010024658,MEGASFON,PHLOROGLUCINOL / TRIMETHYLPHLOROGLUCINOL,80 / 80,MG / MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE, 22.80   , -     , 22.80   ,G,70%
6118000091530,MEGASFON,PHLOROGLUCINOL / TRIMETHYLPHLOROGLUCINOL,80 / 80,MG / MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE, 22.80   , -     , 22.80   ,G,70%
6118000170594,BEROCCA ZINC,MULTIVITAMINES ET MINERAUX,,NA,COMPRIME EFFERVESCENT,1 BOITE 20 COMPRIME EFFERVESCENT, 84.20   , 55.70   , 84.20   ,P,0%
6118000120414,MYK,SULCONAZOLE,1,%,CREME,1 TUBE 15 G, 39.60   , 24.70   , 39.60   ,P,70%
6118001120222,INSULINE INSULATARD HM PENFILL,INSULINE HUMAINE,100,UI,SUSPENSION INJECTABLE INTERMEDIAIRE,5 CARTOUCHE 3 ML, 350.00   , 232.00   , 350.00   ,P,70%
6118001080670,TAVANIC,LEVOFLOXACINE,500,MG,COMPRIME PELLICULE SECABLE,1 BOITE 5 COMPRIME, 145.00   , 90.30   , 112.00   ,P,70%
6118000020219,PHENOCILLINE,PHENOXYMETHYLPENICILLINE,1,MUI,COMPRIME SECABLE,1 BOITE 24 COMPRIME SECABLE, 58.50   , 36.50   , 58.50   ,G,70%
6118000090625,PNEUMOCCID,AMOXICILLINE,250,MG,COMPRIME DISPERSIBLE,1 BOITE 24 COMPRIME, 48.90   , 30.50   , 48.90   ,G,70%
6118001090198,LEVITRA,VARDENAFIL,10,MG,COMPRIME PELLICULE,1 BOITE 2 COMPRIME, 128.00   , 84.70   , 128.00   ,P,0%
6118001183807,RISPERDAL ORO 3MG,RISPERIDONE,3,MG,COMPRIME ORODISPERSIBLE,1 BOITE 28 COMPRIME ORODISPERSIBLE, 574.70   , 380.20   , 574.70   ,P,0%
6118001150830,POLYTAR LIQUIDE,MELANGE DE GOUDRON,1,%,SHAMPOOING,1 FLACON 150 ML, 104.50   , 69.00   , 104.50   ,P,0%
6118001271214,CHONDROSULF 400 MG,CHONDROITINE,400,MG,GELULE,1 BOITE 84 GELULE, 287.20   , 190.00   , 287.20   ,P,0%
6118000070146,BEMAG,MAGNESIUM / PYRIDOXINE (VITAMINE B6),0.5 / 0.125,G / G,SOLUTION BUVABLE,1 BOITE 20 AMPOULE BUVABLE, 41.80   , 27.70   , 41.80   ,G,0%
6118000041320,ADRONAT 70 MG,ALENDRONATE,70,MG,COMPRIME,1 BOITE 4 COMPRIME, 232.00   , 144.50   , 232.00   ,G,70%
6118001182770,TAXOL,PACLITAXEL,30,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON 5 ML, 619.00   , 411.00   , 619.00   ,P,70%
6118000070207,BIOMOX,AMOXICILLINE,1,G,COMPRIME DISPERSIBLE,1 BOITE 12 COMPRIME, 56.10   , 34.90   , 56.10   ,G,70%
6118000241638,STATOR 40 MG,SIMVASTATINE,40,MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME ENROBE, 171.00   , 106.90   , 171.00   ,G,70%
6118001270248,ACIDE ALENDRONIQUE GT,ALENDRONATE,70,MG,COMPRIME PELLICULE,1 BOITE 4 COMPRIME, 264.00   , 164.70   , 264.00   ,G,70%
6118010025716,PROGRAF,TACROLIMUS,1,MG,GELULE,1 BOITE 100 GELULE," 1,980.00   "," 1,703.00   "," 1,980.00   ",P,70%
6118001260355,PROGRAF,TACROLIMUS,1,MG,GELULE,1 BOITE 100 GELULE," 1,980.00   "," 1,703.00   "," 1,980.00   ",P,70%
6118001182275,TELEBRIX 30 MEGLUMINE,IOXITALAMATE DE MEGLUMINE,19.81,G,SOLUTION INJECTABLE,1 FLACON 30 ML, 67.20   , 44.40   , 67.20   ,P,0%
6118000090281,DICLO PHARMA 5,DICLOFENAC,50,MG,COMPRIME GASTRO-RESISTANT,1 BOITE 20 COMPRIME, 32.40   , 20.20   , 32.40   ,G,70%
6118000240822,TOTIFEN,KETOTIFENE,1,MG,GELULE,1 BOITE 30 GELULE, 58.25   , 38.50   , 58.25   ,G,0%
6118000091998,MOLGAM 200 MG,ACIDE TIAPROFENIQUE,200,MG,COMPRIME,1 BOITE 10 COMPRIME, 22.00   , 13.70   , 22.00   ,G,70%
6118000091899,NAUSELIUM 10 MG,DOMPERIDONE,10,MG,COMPRIME PELLICULE,1 BOITE 20 COMPRIME PELLICULE, 29.00   , 18.10   , 29.00   ,G,70%
6118001100835,UMAX 400 µG LP,TAMSULOSINE,0.4,MG,GELULE LP,1 BOITE 30 GELULE LP, 121.40   , 75.60   , 121.40   ,G,70%
6118001080854,LANTUS,INSULINE HUMAINE,100,UI,SOLUTION INJECTABLE LP,3 CARTOUCHE 3 ML, 558.00   , 369.10   , 558.00   ,P,70%
6118001160211,TIMOPTOL,TIMOLOL,0.5,%,COLLYRE,1 FLACON 3 ML, 54.80   , 34.10   , 46.40   ,P,70%
6118000140085,BRONCHOFLUIDE,CARBOCYSTEINE,5,%,SOLUTION BUVABLE,1 FLACON 300 ML, 39.80   , 26.30   , 39.80   ,G,0%
6118010000522,AMAREL,GLIMEPIRIDE,4,MG,COMPRIME,1 BOITE 30 COMPRIME, 84.00   , 52.50   , 84.00   ,P,70%
6118001081325,AMAREL,GLIMEPIRIDE,4,MG,COMPRIME,1 BOITE 30 COMPRIME, 84.00   , 52.50   , 84.00   ,P,70%
6118000360032,ALTEC,RAMIPRIL,2.5,MG,GELULE,1 BOITE 30 GELULE, 36.90   , 23.10   , 36.90   ,G,70%
6118001181377,HEXABRIX,IOXAGLATE DE SODIUM ET DE MEGLUMINE,320,MG,SOLUTION INJECTABLE,1 FLACON 50 ML, 337.30   , 223.10   , 337.30   ,P,0%
6118000250463,ZITHROMAX,AZITHROMYCINE,100,MG,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 3 SACHET, 72.40   , 45.10   , 51.00   ,P,70%
6118010125461,FONGICAN 50 MG,FLUCONAZOLE,50,MG,GELULE,1 BOITE 7 GELULE, 57.00   , 37.70   , 57.00   ,G,0%
6118001183845,DAILY GÉ,LEVONORGESTREL / ETHINYLESTRADIOL,0.05 / 0.03,MG / MG,COMPRIME ENROBE,1 BOITE 21 COMPRIME ENROBE, 21.40   , 14.20   , 21.40   ,G,0%
6118000032984,ZYRDOL-GYN,METRONIDAZOLE,500,MG,OVULE,1 BOITE 10 OVULE, 25.00   , 15.60   , 25.00   ,G,70%
6118000130130,BULMOL,SALBUTAMOL,8,MG,GELULE,1 BOITE 10 GELULE LP, 38.00   , 23.70   , 38.00   ,G,70%
6118000080633,GLUCOPHAGE 850,METFORMINE,850,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME, 23.90   , 14.90   , 20.40   ,P,70%
6118001100019,IMUSPORIN,CICLOSPORINE,25,MG,CAPSULE MOLLE,1 BOITE 50 CAPSULE MOLLE, 544.00   , 360.00   , 544.00   ,G,70%
6118000241027,ATROPINE PROMOPHARM 1 MG,ATROPINE,1,MG,SOLUTION INJECTABLE,1 BOITE 100 AMPOULE INJECTABLE, 192.50   , 120.30   , 192.50   ,G,70%
6118000032137,FLUOCARIL BF 250,MONOFLUOROPHOSPHATE DE SODIUM,0.25,G,PATE DENTIFRICE,1 TUBE 50 G, 12.40   , 8.20   , 12.40   ,P,0%
6118001101252,TRIAXON,CEFTRIAXONE,250,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON, 33.00   , 20.60   , 33.00   ,G,70%
6118001050499,ROFERON-A,INTERFERON ALFA-2A,4.5,MUI,PREPARATION INJECTABLE,1 BOITE 1 SERINGUE, -     , 376.20   , 376.20   ,P,70%
6118000090984,TRIMOX,SULFAMETHOXAZOLE / TRIMETHOPRIME,400 / 80,MG / MG,COMPRIME,1 BOITE 20 COMPRIME, 21.50   , 13.40   , 21.50   ,G,70%
6118000280439,CLADIA,CLARITHROMYCINE,500,MG,COMPRIME ENROBE,1 BOITE 10 COMPRIME ENROBE, 137.30   , 85.50   , 137.30   ,G,70%
6118000090304,DURESAN,FUROSEMIDE,40,MG,COMPRIME,1 BOITE 20 COMPRIME, 18.30   , 11.50   , 18.30   ,G,70%
6118001140817,LAMICTAL,LAMOTRIGINE,25,MG,COMPRIME DISPERSIBLE,1 BOITE 30 COMPRIME, 89.80   , 56.00   , 89.80   ,P,70%
6118000250159,DIFLUCAN,FLUCONAZOLE,150,MG,GELULE,1 BOITE 1 GELULE, 57.50   , 35.80   , 33.00   ,P,70%
6118000190639,NEOMOX,AMOXICILLINE,1,G,COMPRIME DISPERSIBLE,1 BOITE 24 COMPRIME, 108.10   , 67.30   , 108.10   ,G,70%
6118000031000,ALGANTIL,IBUPROFENE,5,%,GEL,1 TUBE 100 G, 72.80   , 48.20   , 72.80   ,G,0%
6118000020998,RINGER LACTATE SOTHEMA,CHLORURE DE SODIUM / CHLORURE DE POTASSIUM,0.6 / 0.04,G / G,SOLUTION POUR PERFUSION,1 POCHE 500 ML, 21.50   , 14.20   , 21.50   ,G,0%
6118001020997,HAEMACCEL,GELATINE FLUIDE MODIFIEE,,NA,SOLUTION POUR PERFUSION,1 FLACON 500 ML, 71.00   , 44.20   , 71.00   ,P,70%
6118001120314,NOVOFEM,ESTRADIOL / NORETHISTERONE,1 / 1,MG / MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE, 119.00   , 78.70   , 119.00   ,P,0%
6118001270101,DIALENS,DEXTRAN / CHLORHEXIDINE,5 / 5,G / MG,COLLYRE,1 FLACON 10 ML, 38.30   , 25.30   , 38.30   ,G,0%
6118000020950,GLUCOSE 5% SOTHEMA,GLUCOSE,5,%,SOLUTION POUR PERFUSION,1 POCHE 250 ML, 14.50   , 9.55   , 14.50   ,G,0%
6118000082026,OEDES 20 MG,OMEPRAZOLE,20,MG,GELULE,1 BOITE 56 GELULE, 140.00   , 92.60   , 140.00   ,G,0%
6118001151011,CARDIJECT,DOBUTAMINE,250,MG,POUDRE POUR USAGE PARENTERAL,1 BOITE 1 FLACON, 126.00   , 78.70   , 126.00   ,G,70%
6118000010654,ERYTHROCINE,ERYTHROMYCINE,1,G,GRANULE POUR SOLUTION BUVABLE,1 BOITE 10 SACHET, 76.25   , 50.40   , 76.25   ,P,70%
6118000050490,CALCINIB,AMLODIPINE,5,MG,COMPRIME,1 BOITE 14 COMPRIME, 35.00   , 21.90   , 35.00   ,G,70%
6118000220114,LUDIOMIL,MAPROTILINE,75,MG,COMPRIME PELLICULE,1 BOITE 20 COMPRIME, 105.70   , 69.90   , 105.70   ,P,70%
6118000091004,TRIMOX FORT,SULFAMETHOXAZOLE / TRIMETHOPRIME,800 / 160,MG / MG,COMPRIME,1 BOITE 10 COMPRIME, 17.30   , 10.80   , 17.30   ,G,70%
6118010118333,ALZOLE 20 MG,OMEPRAZOLE,20,MG,GELULE,1 FLACON 7 GELULE, 28.90   , 18.00   , 28.90   ,G,70%
6118000051015,ALZOLE 20 MG,OMEPRAZOLE,20,MG,GELULE,1 FLACON 7 GELULE, 28.90   , 18.00   , 28.90   ,G,70%
6118010017278,BUSCOPAN,N-BUTYL HYOSCINE,10,MG,SUPPOSITOIRE,1 BOITE 6 SUPPOSITOIRE, 11.40   , 7.10   , 10.80   ,P,70%
6118000120681,AMOVAS,AMLODIPINE,5,MG,COMPRIME,1 BOITE 56 COMPRIME, 136.60   , 85.40   , 136.60   ,G,70%
6118000140290,FLUSTAPH,FLUCLOXACILLINE,250,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 100 ML, 48.00   , 29.90   , 48.00   ,G,70%
6118000180500,TROPHIRES ADULTES,HUILE ESSENTIELLE DEUCALYPTUS / TENOATE DE SODIUM,110 / 285,MG / MG,SUPPOSITOIRE,1 BOITE 8 SUPPOSITOIRE, 12.95   , 8.60   , 12.95   ,P,0%
6118000071297,HIPOTENSIL,CAPTOPRIL,50,MG,COMPRIME,1 BOITE 30 COMPRIME, 140.00   , 87.50   , 140.00   ,G,70%
6118000061571,VIRLIX,CETIRIZINE,10,MG,COMPRIME PELLICULE SECABLE,1 BOITE 15 COMPRIME, 52.00   , 32.40   , 52.00   ,P,70%
6118010025020,PNEUMOCCID,AMOXICILLINE,500,MG,GELULE,1 BOITE 24 GELULE, 69.35   , -     , 69.35   ,G,70%
6118000050988,MYCOFLU 150 MG,FLUCONAZOLE,150,MG,GELULE,1 BOITE 7 GELULE, 130.00   , 81.00   , 130.00   ,G,70%
6118000011484,SPASFON 40 MG,PHLOROGLUCINOL / TRIMETHYLPHLOROGLUCINOL,40 / 0.04,MG / MG,SOLUTION INJECTABLE,6 AMPOULE 4 ML, 33.00   , 20.60   , 33.00   ,P,70%
6118001271115,SPASFON 40 MG,PHLOROGLUCINOL / TRIMETHYLPHLOROGLUCINOL,40 / 0.04,MG / MG,SOLUTION INJECTABLE,6 AMPOULE 4 ML, 33.00   , 20.60   , 33.00   ,P,70%
6118000040538,MIGRALGINE,PARACETAMOL / CAFEINE,400 / 62.5,MG / MG,GELULE,1 BOITE 18 GELULE, 21.50   , 14.20   , 21.50   ,P,0%
6118000033110,XERIUM 20 MG,PAROXETINE,20,MG,COMPRIME SECABLE,1 BOITE 28 COMPRIME SECABLE, 123.20   , 81.50   , 123.20   ,G,0%
6118001020928,SYMBICORT TURBUHALER,BUDESONIDE / FORMOTEROL,100 / 6,µG / µG,POUDRE POUR INHALATION,1 FLACON 120 DOSE, 243.00   , 151.90   , 243.00   ,P,70%
6118000040309,DOLIPRANE,PARACETAMOL,200,MG,SUPPOSITOIRE,1 BOITE 10 SUPPOSITOIRE, 11.75   , 7.30   , 10.20   ,P,70%
6118001151127,TEMODAL,TEMOZOLOMIDE,5,MG,GELULE,1 FLACON 5 GELULE, 219.00   , 137.00   , 219.00   ,P,70%
6118001151134,TEMODAL,TEMOZOLOMIDE,20,MG,GELULE,1 FLACON 5 GELULE, 840.00   , 558.00   , 840.00   ,P,70%
6118000081722,LINCOCINE,LINCOMYCINE,250,MG,SIROP,1 FLACON 60 ML, 43.00   , 28.40   , 43.00   ,P,0%
6118001050338,RECORMON,EPOETINE BETA,500,UI,SOLUTION INJECTABLE,6 SERINGUE .3 ML, -     , 516.90   , 516.90   ,P,70%
6118001140497,FRAXIPARINE,NADROPARINE,3800,UI,SOLUTION INJECTABLE,1 BOITE 10 SERINGUE, 322.00   , 214.00   , 322.00   ,P,70%
6118000310266,PHARMAFLAM RETARD,DICLOFENAC,100,MG,COMPRIME LP,1 BOITE 20 COMPRIME, 61.80   , 38.50   , 61.80   ,G,70%
6118000020301,CORRECTOL,INOSINE MONOPHOSPHATE,0.1,%,COLLYRE,1 FLACON 10 ML, 20.00   , -     , 20.00   ,P,0%
6118001250677,VELAXOR LP,VENLAFAXINE,75,MG,GELULE LP,1 BOITE 30 GELULE LP, 179.00   , 118.40   , 179.00   ,G,0%
6118000130208,NORMET,ATENOLOL,100,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME SECABLE, 82.00   , 51.20   , 82.00   ,G,70%
6118000240938,VERASKIN,ALOE VERA,4,%,GEL,1 TUBE 30 G, 18.85   , 12.50   , 18.85   ,P,0%
6118010023668,ASTAPH,FLUCLOXACILLINE,500,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML, 80.60   , -     , 80.60   ,G,70%
6118000070474,GENTAMICINE LLORENTE,GENTAMICINE,160,MG,SOLUTION INJECTABLE,1 BOITE 6 AMPOULE INJECTABLE, 119.80   , 74.70   , 119.80   ,G,70%
6118001170630,INSPRA 50 MG,EPLERENONE,50,MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME, 398.00   , 263.30   , 398.00   ,P,0%
6118000140078,BRONCHOFLUIDE,CARBOCYSTEINE,5,%,SOLUTION BUVABLE,1 FLACON 125 ML, 18.35   , 12.10   , 18.35   ,G,0%
6118000080893,MINIDIAB,GLIPIZIDE,5,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME, 26.50   , 16.60   , 26.50   ,P,70%
6118001160112,EZETROL,EZETIMIBE,10,MG,COMPRIME,1 BOITE 28 COMPRIME, 404.00   , 267.20   , 404.00   ,P,0%
6118000140344,NOVOCLIN,AMOXICILLINE / ACIDE CLAVULANIQUE,500 / 125,MG / MG,COMPRIME ENROBE,1 BOITE 24 COMPRIME, 224.40   , 148.40   , 224.40   ,G,70%
6118000242161,C-BAC 500 MG,CLARITHROMYCINE,500,MG,COMPRIME ENROBE,1 BOITE 7 COMPRIME ENROBE, 75.00   , 49.60   , 75.00   ,G,70%
6118000242109,TERFINE 250 MG PROMOPHARM,TERBINAFINE,250,MG,COMPRIME,1 BOITE 7 COMPRIME, 62.00   , 41.00   , 62.00   ,G,70%
6118001081714,TRITAZIDE 10MG / 25MG,RAMIPRIL / HYDROCHLOROTHIAZIDE,10 / 25,MG / MG,COMPRIME SECABLE,1 BOITE 14 COMPRIME SECABLE, 131.00   , 86.70   , 131.00   ,P,0%
6118000031611,INDOLAN,INDOMETACINE,50,MG,SUPPOSITOIRE,1 BOITE 10 SUPPOSITOIRE, 23.50   , 14.60   , 23.50   ,G,70%
6118000011323,PRIMALAN,MEQUITAZINE,10,MG,COMPRIME SECABLE,1 BOITE 14 COMPRIME, 54.00   , 33.70   , 54.00   ,P,70%
6118000310495,NEOCLAV 100MG/12.5MG/ML NOURRISSON,AMOXICILLINE / ACIDE CLAVULANIQUE,100 / 12.5,MG / MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 30 ML, 38.00   , 23.70   , 38.00   ,G,70%
6118000032304,SUPANGINE,CHLORAMPHENICOL / BISMUTH SUCCINATE,125 / 40,MG / MG,SUPPOSITOIRE,1 BOITE 5 SUPPOSITOIRE, 11.70   , 7.70   , 11.70   ,G,0%
6118000032410,DOXYMYCINE,DOXYCYCLINE,200,MG,COMPRIME DISPERSIBLE,1 BOITE 10 COMPRIME, 70.00   , 43.60   , 70.00   ,G,70%
6118010118241,PRISDAL,RISPERIDONE,4,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE, 517.00   , 342.00   , 517.00   ,G,70%
6118000191100,BIOTIC PLUS,AMOXICILLINE / ACIDE CLAVULANIQUE,1 / 125,G / MG,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 24 SACHET, 203.00   , 126.50   , 203.00   ,G,70%
6118000130048,OMEGEN,OMEPRAZOLE,10,MG,GELULE GASTRO-RESISTANTE,1 BOITE 7 GELULE GASTRO-RESISTANTE, 35.00   , 21.80   , 35.00   ,G,70%
6118010023392,ALFAMOX,AMOXICILLINE,1,G,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 14 SACHET, 65.00   , 40.50   , 65.00   ,G,70%
6118000091448,ALFAMOX,AMOXICILLINE,1,G,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 14 SACHET, 65.00   , 40.50   , 65.00   ,G,70%
6118000060406,FLAGYL,METRONIDAZOLE,500,MG,OVULE,1 BOITE 10 OVULE, 36.30   , 22.60   , 29.60   ,P,70%
6118000160649,EUSAPRIM FORT,SULFAMETHOXAZOLE / TRIMETHOPRIME,800 / 160,MG / MG,COMPRIME SECABLE,1 BOITE 10 COMPRIME, 28.70   , 19.00   , 28.70   ,P,70%
6118000180708,ZOPIDOX,ZOLPIDEM,10,MG,COMPRIME PELLICULE,1 BOITE 20 COMPRIME PELLICULE, 45.00   , 28.00   , 45.00   ,G,70%
6118000031239,CHLORTETRACYCLINE LAPROPHAN,CHLORTETRACYCLINE,1,%,POMMADE OPHTALMIQUE,1 TUBE 5 G, 5.10   , 3.40   , 5.10   ,G,0%
6118000071464,TECPRIL,RAMIPRIL,1.25,MG,GELULE,1 BOITE 30 GELULE, 40.00   , 25.00   , 40.00   ,G,70%
6118000010135,ALODONT,CETYLLPYRIDINIUM / CHLOROBUTANOL HEMYDRATE,5 / 50,MG / MG,SOLUTION POUR BAIN DE BOUCHE,1 FLACON 200 ML, 20.95   , -     , 20.95   ,P,0%
6118001030507,VISUDYNE,VERTEPORFINE,15,MG,POUDRE POUR SOLUTION POUR PERFUSION,1 FLACON 10 ML," 14,700.00   "," 9,724.05   "," 14,700.00   ",P,0%
6118001070756,UMILINE NPH PEN,INSULINE HUMAINE,100,UI,SUSPENSION INJECTABLE INTERMEDIAIRE,1 CARTOUCHE 3 ML, 104.00   , 65.00   , 104.00   ,P,70%
6118000090366,GRISEOPHARM,GRISEOFULVINE,125,MG,COMPRIME,1 BOITE 32 COMPRIME, 22.00   , 13.70   , 22.00   ,G,70%
6118001160273,ZOCOR,SIMVASTATINE,40,MG,COMPRIME ENROBE GASTRO-RESISTANT,1 BOITE 28 COMPRIME, 232.00   , 144.70   , 232.00   ,P,70%
6118000191056,PROFLOX,CIPROFLOXACINE,500,MG,COMPRIME ENROBE,1 BOITE 10 COMPRIME, 144.00   , 89.70   , 144.00   ,G,70%
6118001080793,LASILIX SPECIAL,FUROSEMIDE,250,MG,SOLUTION INJECTABLE,5 AMPOULE 25 ML, 91.80   , 57.40   , 91.80   ,P,70%
6118001050031,CELLCEPT,MYCOPHENOLATE MOFETIL,500,MG,COMPRIME PELLICULE,1 BOITE 50 COMPRIME," 1,203.00   ", 905.00   ," 1,203.00   ",P,70%
6118000250425,VIBRAMYCINE,DOXYCYCLINE,100,MG,COMPRIME,1 BOITE 10 COMPRIME, 48.20   , 30.10   , 42.00   ,P,70%
6118001120956,MODITEN,FLUPHENAZINE,25,MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME, 30.00   , 19.80   , 30.00   ,P,70%
6118010125799,SUPPOSEDAL ADULTE,NIAOULI / GRINDELIA / GELSEMIUM,40/40/20,MG / MG / MG,SUPPOSITOIRE,1 BOITE 12 SUPPOSITOIRE, 13.00   , 8.60   , 13.00   ,G,0%
6118000030133,CHLORURE DE SODIUM LAPROPHAN,CHLORURE DE SODIUM,0.9,%,SOLUTION POUR PERFUSION,12 FLACON 500 ML, 224.70   , 148.60   , 224.70   ,G,0%
6118001220199,HIBOR 2500 UI ANTI XA,BEMIPARINE,2500,UI,SOLUTION INJECTABLE,1 BOITE 10 SERINGUE PREREMPLIE, 242.00   , 160.10   , 242.00   ,P,0%
6118000050797,AERIUS,DESLORATADINE,0.5,MG,SIROP,1 FLACON 60 ML, 42.10   , 28.00   , 42.10   ,P,0%
6118001200641,"INNOHEP 18 000 UI ANTI-XA/0,9 ML",TINZAPARINE,18000,UI,SOLUTION INJECTABLE,1 BOITE 2 SERINGUE PREREMPLIE, 402.00   , 267.00   , 402.00   ,P,70%
6118001030453,CIBACALCINE,CALCITONINE HUMAINE,0.5,µG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 5 AMPOULE, 465.10   , 307.65   , 465.10   ,P,0%
6118000030140,CHLORTETRACYCLINE LAPROPHAN,CHLORTETRACYCLINE,3,%,POMMADE,1 TUBE 15 G, 8.40   , 5.20   , 8.40   ,G,70%
6118001070879,AVONEX 30µG/0.5ML,INTERFERON BETA-1A,30,µG,SOLUTION INJECTABLE,4 SERINGUE PREREMPLIE .5 ML," 9,747.00   "," 9,537.00   "," 9,747.00   ",P,70%
6118000180609,SULPIDAL,SULPIRIDE,50,MG,GELULE,1 BOITE 20 GELULE, 29.50   , 18.40   , 29.50   ,G,70%
6118001021246,OXAPLATINE MYLAN 5 MG/ML,OXALIPLATINE,50,MG,POUDRE POUR PERFUSION,1 FLACON 30 ML," 1,203.00   ", 929.00   ," 1,203.00   ",G,70%
6118010116902,DUOTRAV,TRAVOPROST / TIMOLOL,40 / 5,µG / MG,COLLYRE,1 FLACON 2.5 ML, 255.00   , 158.90   , 255.00   ,P,70%
6118001071340,DUOTRAV,TRAVOPROST / TIMOLOL,40 / 5,µG / MG,COLLYRE,1 FLACON 2.5 ML, 255.00   , 158.90   , 255.00   ,P,70%
6118000180494,"TOPICORTE 0,25%",DESOXIMETASONE,0.25,%,CREME,1 FLACON 15 G, 24.60   , 16.30   , 24.60   ,P,0%
